Date,Open,High,Low,Close,Volume
20160104,19.731,20.073,19.602,19.969,3810770.307
20160105,19.979,20.148,19.696,20.049,2678275.375
20160106,19.780,19.860,18.986,19.066,1945339.761
20160107,18.659,18.867,18.122,18.241,2919552.707
20160108,18.370,18.748,18.142,18.410,2006430.193
20160111,18.460,18.529,17.790,17.805,2067820.147
20160112,18.102,18.261,17.229,17.318,3817115.620
20160113,17.477,17.814,16.732,16.881,4862795.735
20160114,16.980,17.507,16.811,17.397,2722289.712
20160115,17.020,17.090,16.802,16.975,2670720.977
20160119,17.189,17.308,16.226,16.375,2862270.942
20160120,16.116,16.216,15.282,16.017,3097518.233
20160121,16.047,16.856,15.898,16.504,2349499.227
20160122,16.891,18.271,16.891,17.616,2819920.582
20160125,17.119,18.132,17.080,17.129,3236377.210
20160126,17.288,17.735,17.050,17.616,2024112.803
20160127,17.487,18.112,17.258,17.636,1277933.005
20160128,18.172,18.450,17.725,17.914,1694562.024
20160129,17.993,18.420,17.973,18.420,2629452.578
20160201,18.162,18.202,17.358,17.973,1690040.343
20160202,17.666,17.948,17.378,17.765,3106638.709
20160203,18.043,18.271,17.308,18.261,1944254.927
20160204,18.660,18.760,18.020,18.050,2699986.000
20160205,18.330,18.330,17.260,17.290,2456589.000
20160208,16.870,17.015,16.210,16.610,3946666.000
20160209,16.420,16.540,15.450,15.960,4744896.000
20160210,15.950,16.470,15.700,16.240,1506601.000
20160211,15.930,16.040,15.530,15.870,1903655.000
20160212,16.130,16.370,15.880,16.280,1373406.000
20160216,16.560,16.840,16.430,16.810,1799206.000
20160217,17.000,17.565,16.650,17.460,2098619.000
20160218,16.360,18.370,16.320,17.530,2572973.000
20160219,17.040,17.460,16.825,17.080,1750287.000
20160222,17.440,17.740,17.130,17.720,1970299.000
20160223,17.590,17.915,16.900,16.950,1675994.000
20160224,16.640,17.340,16.570,17.250,1119887.000
20160225,17.290,17.590,16.910,17.570,754004.000
20160226,17.890,18.180,17.600,18.020,1435777.000
20160229,18.180,18.370,17.810,18.140,2091249.000
20160301,18.260,18.340,17.680,18.070,1568735.000
20160302,18.030,19.290,17.950,19.250,1680387.000
20160303,19.270,19.860,19.030,19.840,2067334.000
20160304,19.980,20.250,19.250,19.610,2541593.000
20160307,19.550,20.000,19.500,19.720,1900655.000
20160308,19.500,19.700,18.900,18.920,1262563.000
20160309,19.080,19.770,19.051,19.760,1997058.000
20160310,19.800,23.400,19.470,21.390,13154135.000
20160311,22.040,23.320,22.040,22.940,5324969.000
20160314,22.770,23.170,22.574,22.900,3079715.000
20160315,22.600,23.030,22.440,23.020,2642527.000
20160316,23.000,23.580,22.870,23.010,3402643.000
20160317,22.880,24.040,22.880,23.500,2237527.000
20160318,25.150,25.170,24.720,24.830,63043077.000
20160321,24.900,25.115,24.850,25.020,10036135.000
20160322,25.020,25.100,24.950,24.970,9739104.000
20160323,25.030,25.050,24.970,25.040,11569588.000
20160324,25.000,25.145,25.000,25.040,12413499.000
